"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"封條"	"fēngtiáo"	"7"	"seal"	""	""
"風暴"	"fēngbào"	"7"	"storm"	"violent commotion, fig. crisis (e.g. revolution, uprising, financial crisis etc)"	""
"風潮"	"fēngcháo"	"7"	"tempest"	"wave (of popular sentiment etc), craze or fad"	""
"風光"	"fēngguāng"	"7"	"scene"	"view, sight, landscape, to be well-regarded, to be well-off, grand (dialect), impressive (dialect)"	""
"風化"	"fēnghuà"	"7"	"decency"	"public morals, to weather (rocks), wind erosion"	""
"風力"	"fēnglì"	"7"	"wind force"	"wind power"	""
"風尚"	"fēngshàng"	"7"	"current custom"	"current way of doing things"	""
"風水"	"fēngshui"	"7"	"feng shui"	"geomancy"	""
"風行"	"fēngxíng"	"7"	"to become fashionable"	"to catch on, to be popular"	""
"鋒"	"feng1"	"7"	"point of a spear"	"edge of a tool, vanguard, forward (in sports team)"	"鋒面 (fēngmiàn)"
"鋒面"	"fēngmiàn"	"7"	"front (meteorology)"	""	""
"盛"	"shèng"	"7"	"surname Sheng"	"to hold, to contain, to ladle, to pick up with a utensil, flourishing, vigorous, magnificent, extensively"	"豐盛 (fēngshèng)"
"豐盛"	"fēngshèng"	"7"	"rich"	"sumptuous"	""
"豐收"	"fēngshōu"	"7"	"bumper harvest"	""	""
"奉"	"feng4"	"7"	"to offer (tribute)"	"to present respectfully (to superior, ancestor, deity etc), to esteem, to revere, to believe in (a religion), to wait upon, to accept orders (from superior)"	"奉獻 (fèngxiàn)"
"奉獻"	"fèngxiàn"	"7"	"to offer respectfully"	"to consecrate, to dedicate, to devote"	""
"奉養"	"fèngyàng"	"7"	"to look after (elderly parents)"	"to serve, to support"	""
"佛經"	"fójīng"	"7"	"Buddhist texts"	"scripture"	""
"佛像"	"fóxiàng"	"7"	"Buddhist image"	"statue of Buddha or Bodhisattva, CL:尊[zun1], 張|张[zhang1]"	""
"否決"	"fǒujué"	"7"	"to veto"	"to overrule"	""
"膚淺"	"fūqiăn"	"7"	"skin-deep"	"superficial, shallow"	""
"敷"	"fu1"	"7"	"to spread"	"to lay out, to apply (powder, ointment etc), sufficient (to cover), enough"	"敷衍 (fūyăn)"
"衍"	"yan3"	"7"	"to spread out"	"to develop, to overflow, to amplify, superfluous"	"敷衍 (fūyăn)"
"敷衍"	"fūyăn"	"7"	"to elaborate (on a theme)"	"to expound (the classics), perfunctory, to skimp, to botch, to do sth half-heartedly or just for show, barely enough to get by"	""
"俘"	"fu2"	"7"	"to take prisoner"	"prisoner of war"	"俘虜 (fúlŭ)"
"虜"	"lu3"	"7"	"prisoner of war"	"to capture, to take prisoner, (old) northern barbarian, slave"	"俘虜 (fúlŭ)"
"俘虜"	"fúlŭ"	"7"	"captive"	""	""
"浮動"	"fúdòng"	"7"	"to float and drift"	"unstable"	""
"服從"	"fúcóng"	"7"	"to obey (an order)"	"to comply, to defer"	""
"服飾"	"fúshì"	"7"	"apparel"	"clothing and personal adornment"	""
"刑"	"xing2"	"7"	"surname Xing"	"punishment, penalty, sentence, torture, corporal punishment"	"服刑 (fúxíng)"
"服刑"	"fúxíng"	"7"	"to serve a prison sentence"	""	""
"幅度"	"fúdù"	"7"	"width"	"extent, range, scope"	""
"福氣"	"fúqì"	"7"	"good fortune"	"a blessing"	""
"輻"	"fu2"	"7"	"spoke of a wheel"	""	"輻射 (fúshè)"
"輻射"	"fúshè"	"7"	"radiation"	""	""
"斧"	"fu3"	"7"	"hatchet"	""	"斧頭 (fŭtou)"
"斧頭"	"fŭtou"	"7"	"ax"	"hatchet, CL:柄[bing3]"	""
"撫養"	"fŭyăng"	"7"	"to foster"	"to bring up, to raise"	""
"撫育"	"fŭyù"	"7"	"to nurture"	"to raise, to foster, to tend"	""
"腐爛"	"fŭlàn"	"7"	"to rot"	"to putrefy, (fig.) corrupt"	""
"蝕"	"shi2"	"7"	"to nibble away at sth"	"to eat into, to erode"	"腐蝕 (fŭshí)"
"腐蝕"	"fŭshí"	"7"	"corrosion"	"to corrode (degrade chemically), to rot, corruption"	""
"朽"	"xiu3"	"7"	"rotten"	""	"腐朽 (fŭxiŭ)"
"腐朽"	"fŭxiŭ"	"7"	"rotten"	"decayed, decadent, degenerate"	""
"付款"	"fùkuăn"	"7"	"to pay a sum of money"	"payment"	""
"負面"	"fùmiàn"	"7"	"negative"	"the negative side"	""
"富貴"	"fùguì"	"7"	"riches and honor"	""	""
"富有"	"fùyǒu"	"7"	"rich"	"full of"	""
"婦人"	"fùrén"	"7"	"married woman"	""	""
"附上"	"fùshàng"	"7"	"attached"	"included herewith"	""
"甦"	"su1"	"7"	"variant of 蘇|苏[su1]"	"to revive"	"復甦 (fùsū)"
"復甦"	"fùsū"	"7"	"to recover (health, economic)"	"to resuscitate, anabiosis"	""
"復原"	"fùyuán"	"7"	"to restore (sth) to (its) former condition"	"to recover from illness, recovery"	""
"賦"	"fu4"	"7"	"poetic essay"	"taxation, to bestow on, to endow with"	"賦予 (fùyŭ)"
"予"	"yŭ"	"7"	"(archaic) I"	"me, to give"	"賦予 (fùyŭ)"
"賦予"	"fùyŭ"	"7"	"to assign"	"to entrust (a task), to give, to bestow"	""
"該死"	"gāisǐ"	"7"	"Damn it!"	"damned, wretched"	""
"改編"	"găibiān"	"7"	"to adapt"	"to rearrange, to revise"	""
"改觀"	"găiguān"	"7"	"change of appearance"	"to revise one's point of view"	""
"改良"	"găiliáng"	"7"	"to improve (sth)"	"to reform (a system)"	""
"改選"	"găixuăn"	"7"	"reelection"	"to reelect"	""
"鈣"	"gài"	"7"	"calcium (chemistry)"	""	""
"概括"	"gàiguā"	"7"	"to summarize"	"to generalize, briefly, CL:個|个[ge4]"	""
"概況"	"gàikuàng"	"7"	"general situation"	"summary"	""
"蓋章"	"gàizhāng"	"7"	"to affix a seal"	"to stamp (a document), to sign off on sth"	""
"尷"	"gan1"	"7"	"embarrassed"	"ill at ease"	"尷尬 (gāngà)"
"尬"	"ga4"	"7"	"embarrassing"	"awkwardly"	"尷尬 (gāngà)"
"尷尬"	"gāngà"	"7"	"awkward"	"embarrassed"	""
"干"	"gan4"	"7"	"tree trunk"	"main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar)"	"干擾 (gānrăo)"
"干擾"	"gānrăo"	"7"	"to disturb"	"to interfere, perturbation, interference (physics)"	""
"涉"	"she4"	"7"	"to wade"	"to be involved, to concern, to experience, to enter (classical)"	"干涉 (gānshè)"
"干涉"	"gānshè"	"7"	"to interfere"	"to meddle, interference"	""
"燥"	"zao4"	"7"	"dry"	"parched, impatient"	"乾燥 (gānzào)"
"乾燥"	"gānzào"	"7"	"to dry (of weather, paint, cement etc)"	"desiccation, dull, uninteresting, arid"	""
"感觸"	"gănchù"	"7"	"one's thoughts and feelings"	"emotional stirring, moved, touched"	""
"感性"	"gănxìng"	"7"	"perception"	"perceptual, sensibility, sensitive, emotional, sentimental"	""
"趕忙"	"gănmáng"	"7"	"to hurry"	"to hasten, to make haste"	""
"綱"	"gang1"	"7"	"head rope of a fishing net"	"guiding principle, key link, class (taxonomy), outline, program"	"綱領 (gānglǐng)"
"綱領"	"gānglǐng"	"7"	"program (i.e. plan of action)"	"guiding principle"	""
"剛強"	"gāngqiáng"	"7"	"firm"	"unyielding"	""
"鋼鐵"	"gāngtiě"	"7"	"steel"	""	""
"崗"	"gang3"	"7"	"mound"	"policeman's beat"	"崗位 (găngwèi)"
"崗位"	"găngwèi"	"7"	"a post"	"a job"	""
"高見"	"gāojiàn"	"7"	"wise opinion"	"brilliant idea (honorific)"	""
"高壓"	"gāoyā"	"7"	"high pressure"	"high-handed"	""
"告別"	"gàobié"	"7"	"to leave"	"to bid farewell to, to say good-bye to"	""
"告狀"	"gàozhuàng"	"7"	"to tell on sb"	"to complain (to a teacher, a superior etc), to bring a lawsuit"	""
"胳"	"ge1"	"7"	"variant of 胳[ge1]"	"armpit"	"胳膊 (gēbo)"
"膊"	"bo2"	"7"	"shoulder"	"upper arm"	"胳膊 (gēbo)"
"胳膊"	"gēbo"	"7"	"arm"	"CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]"	""
"歌唱"	"gēchàng"	"7"	"to sing"	""	""
"歌手"	"gēshǒu"	"7"	"singer"	""	""
"頌"	"song4"	"7"	"ode"	"eulogy, to praise in writing, to wish (in letters)"	"歌頌 (gēsòng)"
"歌頌"	"gēsòng"	"7"	"to sing the praises of"	"to extol, to eulogize"	""
"疙"	"ge1"	"7"	"pimple"	"wart"	"疙瘩 (gēda)"
"瘩"	"da2"	"7"	"sore"	"boil, scab"	"疙瘩 (gēda)"
"疙瘩"	"gēda"	"7"	"swelling or lump on skin"	"pimple, knot, preoccupation, problem"	""
"鴿"	"ge1"	"7"	"pigeon"	"dove"	"鴿子 (gēzi)"
"鴿子"	"gēzi"	"7"	"pigeon"	"dove, various birds of the family Columbidae"	""
"閡"	"he2"	"7"	"obstruct"	""	"隔閡 (géhé)"
"隔閡"	"géhé"	"7"	"misunderstanding"	"estrangement, (language etc) barrier"	""
"隔天"	"gétiān"	"7"	"the next day"	"on alternate days"	""
"格局"	"géjú"	"7"	"structure"	"pattern, layout"	""
"格式"	"géshì"	"7"	"form"	"specification, format"	""
"格外"	"géwài"	"7"	"especially"	"particularly"	""
"革新"	"géxīn"	"7"	"to innovate"	"innovation"	""
"各界"	"gèjiè"	"7"	"all walks of life"	"all social circles"	""
"各自"	"gèzì"	"7"	"each"	"respective, apiece"	""
"個數"	"gèshù"	"7"	"number of items or individuals"	""	""
"個體"	"gètǐ"	"7"	"individual"	""	""
"給予"	"gěiyŭ"	"7"	"to accord"	"to give, to show (respect)"	""
"跟進"	"gēnjìn"	"7"	"to follow"	"to follow up"	""
"跟前"	"gēnqián"	"7"	"the front (of)"	"(in) front, (in) sb's presence, just before (a date), (of children, parents etc) at one's side, living with one"	""
"根源"	"gēnyuán"	"7"	"origin"	"root (cause)"	""
"耕"	"geng1"	"7"	"variant of 耕[geng1]"	"to plow, to till"	"耕地 (gēngdì)"
"耕地"	"gēngdì"	"7"	"arable land"	"to plow land"	""
"更動"	"gēngdòng"	"7"	"to change"	"to replace, to alter"	""
"弓"	"gōng"	"7"	"surname Gong"	"a bow (weapon), CL:張|张[zhang1], to bend, to arch (one's back etc)"	""
"工地"	"gōngdì"	"7"	"construction site"	""	""
"工讀"	"gōngdú"	"7"	""	""	""
"工藝品"	"gōngyìpǐn"	"7"	"handicraft article"	"handiwork, CL:個|个[ge4]"	""
"公安"	"gōngān"	"7"	"(Ministry of) Public Security"	"public safety, public security"	""
"公費"	"gōngfèi"	"7"	"at public expense"	""	""
"公會"	"gōnghuì"	"7"	"guild"	""	""
"公民"	"gōngmín"	"7"	"citizen"	""	""
"公認"	"gōngrèn"	"7"	"publicly known (to be)"	"accepted (as)"	""
"公事"	"gōngshì"	"7"	"public affairs"	"official (matters, duties etc)"	""
"公文"	"gōngwén"	"7"	"document"	""	""
"公務"	"gōngwù"	"7"	"official business"	""	""
"公務員"	"gōngwùyuán"	"7"	"functionary"	"office-bearer"	""
"公益"	"gōngyì"	"7"	"public good"	"public welfare"	""
"債"	"zhai4"	"7"	"debt"	"CL:筆|笔[bi3]"	"公債 (gōngzhài)"
"公債"	"gōngzhài"	"7"	"government bond"	""	""
"功勞"	"gōngláo"	"7"	"contribution"	"meritorious service, credit"	""
"功利"	"gōnglì"	"7"	"utility"	""	""
"攻"	"gōng"	"7"	"to attack"	"to accuse, to study"	""
"攻讀"	"gōngdú"	"7"	"to major (in a field)"	"to study a specialty to obtain a higher degree"	""
"攻擊"	"gōngjí"	"7"	"to attack"	"to accuse, to charge, an attack (terrorist or military)"	""
"供給"	"gōnjǐ"	"7"	"to furnish"	"to provide, supply (as in supply and demand)"	""
"宮"	"gong1"	"7"	"surname Gong"	"palace, temple, castration (as corporal punishment), first note in pentatonic scale"	"宮殿 (gōngdiàn)"
"殿"	"dian4"	"7"	"palace hall"	""	"宮殿 (gōngdiàn)"
"宮殿"	"gōngdiàn"	"7"	"palace"	"CL:座[zuo4]"	""
"恭敬"	"gōngjìng"	"7"	"deferential"	"respectful"	""
"恭維"	"gōngwéi"	"7"	"to praise"	"to speak highly of, compliment, praise"	""
"鞏"	"gong3"	"7"	"secure"	"solid"	"鞏固 (gǒnggù)"
"鞏固"	"gǒnggù"	"7"	"to consolidate"	"consolidation, to strengthen"	""
"共產"	"gòngchăn"	"7"	"communist"	""	""
"共和國"	"gònghéguó"	"7"	"republic"	""	""
"鳴"	"míng"	"7"	"to cry (of birds, animals and insects)"	""	"共鳴 (gòngmíng)"
"共鳴"	"gòngmíng"	"7"	"resonance (physics)"	"sympathetic response to sth"	""
"供養"	"gòngyàng"	"7"	"to supply"	"to provide for one's elders, to support one's parents, to make offerings (to the Gods)"	""
"勾"	"gou1 gou4"	"7"	"surname Gou"	"to attract, to arouse, to tick, to strike out, to delineate, to collude, variant of 鉤|钩[gou1], hook, see 勾當|勾当[gou4 dang4]"	"勾結 (gōujié)"
"勾結"	"gōujié"	"7"	"to collude with"	"to collaborate with, to gang up with"	""
"構想"	"gòuxiăng"	"7"	"to conceive"	"concept"	""
"孤獨"	"gūdú"	"7"	"lonely"	"solitary"	""
"孤兒"	"gūér"	"7"	"orphan"	""	""
"孤立"	"gūlì"	"7"	"isolate"	"isolated"	""
"辜"	"gu1"	"7"	"surname Gu"	"crime, sin"	"辜負 (gūfù)"
"辜負"	"gūfù"	"7"	"to fail to live up (to expectations)"	"unworthy (of trust), to let down, to betray (hopes), to disappoint"	""
"估價"	"gūjià"	"7"	"to value"	"to appraise, to be valued at, estimate, valuation"	""
"古怪"	"gŭguài"	"7"	"eccentric"	"grotesque, oddly, queer"	""
"古跡"	"gŭjī"	"7"	"places of historic interest"	"historical sites, CL:個|个[ge4]"	""
"古籍"	"gŭjí"	"7"	"ancient text"	"antique books"	""
"古物"	"gŭwù"	"7"	"antique"	""	""
"股市"	"gŭshì"	"7"	"stock market"	""	""
"鼓吹"	"gŭchuī"	"7"	"to agitate for"	"to enthusiastically promote"	""
"鼓動"	"gŭdòng"	"7"	"to agitate"	"to arouse, to instigate, to encite"	""
"雇"	"gù"	"7"	"variant of 雇[gu4]"	"to employ, to hire, to rent"	""
"固然"	"gùrán"	"7"	"admittedly (it's true that...)"	""	""
"固體"	"gùtǐ"	"7"	"solid"	""	""
"固有"	"gùyǒu"	"7"	"intrinsic to sth"	"inherent, native"	""
"固執"	"gùzhí"	"7"	"obstinate"	"stubborn"	""
"顧全"	"gùquán"	"7"	"to give careful consideration to"	"to display thoughtfulness towards"	""
"蝸"	"wo1"	"7"	"snail"	"Taiwan pr. [gua1], see 蝸牛|蜗牛[wo1 niu2]"	"蝸牛 (guāniú)"
"蝸牛"	"guāniú"	"7"	"snail"	"Taiwan pr. [gua1 niu2]"	""
"寡婦"	"guăfù"	"7"	"widow"	""	""
"拐"	"guăi"	"7"	"to turn (a corner etc)"	"to kidnap, to swindle, to misappropriate, walking stick, crutch, seven (used as a substitute for 七[qi1])"	""
"怪不得"	"guàibùde"	"7"	"no wonder!"	"so that's why!"	""
"官司"	"guānsi"	"7"	"lawsuit"	"CL:場|场[chang2]"	""
"棺"	"guan1"	"7"	"coffin"	""	"棺材 (guāncai)"
"棺材"	"guāncai"	"7"	"coffin"	"CL:具[ju4],口[kou3]"	""
"觀測"	"guāncè"	"7"	"to observe"	"to survey, observation (scientific etc)"	""
"觀感"	"guāngăn"	"7"	"one's impressions"	"observations"	""
"觀看"	"guānkàn"	"7"	"to watch"	"to view"	""
"觀摩"	"guānmó"	"7"	"to observe and emulate"	"to study (esp. following sb's example)"	""
"觀望"	"guānwàng"	"7"	"to wait and see"	"to watch from the sidelines, to look around, to survey"	""
"關稅"	"guānshuì"	"7"	"customs duty"	"tariff"	""
"關切"	"guānqiè"	"7"	"to be deeply concerned"	"to be troubled (by)"	""
"關懷"	"guānhuái"	"7"	"care"	"solicitude, to show care for, concerned about, attentive to"	""
"關頭"	"guāntóu"	"7"	"juncture"	"moment"	""
"關照"	"guānzhào"	"7"	"to take care"	"to keep an eye on, to look after, to tell, to remind"	""
"管教"	"guănjiào"	"7"	"to discipline"	"to teach, to guarantee"	""
"管線"	"guănxiàn"	"7"	"pipeline"	"general term for pipes, cables etc"	""
"管子"	"guănzi"	"7"	"Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period"	"Guanzi, classical book containing writings of Guan Zhong and his school, tube, pipe, drinking straw, CL:根[gen1]"	""
"貫"	"guan4"	"7"	"to pierce through"	"to pass through, to be stringed together, string of 1000 cash"	"貫徹 (guànchè)"
"徹"	"che4"	"7"	"thorough"	"penetrating, to pervade, to pass through"	"貫徹 (guànchè)"
"貫徹"	"guànchè"	"7"	"to implement"	"to put into practice, to carry out"	""
"灌"	"guàn"	"7"	"to irrigate"	"to pour, to install (software), to record (music)"	""
"溉"	"gai4"	"7"	"to irrigate"	""	"灌溉 (guàngài)"
"灌溉"	"guàngài"	"7"	"to irrigate"	""	""
"灌輸"	"guànshū"	"7"	"to imbue with"	"to inculcate, to instill into, to teach, to impart, to channel water to another place"	""
"光顧"	"guānggù"	"7"	"to visit (as a customer)"	""	""
"光滑"	"guānghuá"	"7"	"glossy"	"sleek, smooth"	""
"輝"	"hui1"	"7"	"splendor"	"to shine upon"	"光輝 (guānghuī)"
"光輝"	"guānghuī"	"7"	"radiance"	"glory, brilliant, magnificent"	""
"芒"	"mang2"	"7"	"awn (of cereals)"	"arista (of grain), tip (of a blade), Miscanthus sinensis (type of grass), variant of 邙, Mt Mang at Luoyang in Henan"	"光芒 (guāngmáng)"
"光芒"	"guāngmáng"	"7"	"rays of light"	"brilliant rays, radiance"	""
"規範"	"guīfàn"	"7"	"norm"	"standard, specification, regulation, rule, within the rules, to fix rules, to regulate, to specify"	""
"規格"	"guīgé"	"7"	"standard"	"norm, specification"	""
"歸"	"guī"	"7"	"surname Gui"	"to return, to go back to, to give back to, (of a responsibility) to be taken care of by, to belong to, to gather together, (used between two identical verbs) despite, to marry (of a woman) (old), division on the abacus with a one-digit divisor"	""
"歸還"	"guīhuán"	"7"	"to return sth"	"to revert"	""
"歸納"	"guīnà"	"7"	"to sum up"	"to summarize, to conclude from facts, induction (method of deduction in logic)"	""
"軌"	"gui3"	"7"	"course"	"path, track, rail"	"軌道 (guǐdào)"
"軌道"	"guǐdào"	"7"	"orbit"	"railway or tram line, fig. conventional way of thinking"	""
"鬼怪"	"guǐguài"	"7"	"hobgoblin"	"bogey, phantom"	""
"貴賓"	"guìbīn"	"7"	"honored guest"	"distinguished guest, VIP"	""
"棍"	"gun4"	"7"	"stick"	"rod, truncheon"	"棍子 (gùnzi)"
"棍子"	"gùnzi"	"7"	"stick"	"rod"	""
"國產"	"guóchăn"	"7"	"made in one's own country"	"made in China"	""
"國防"	"guófáng"	"7"	"national defense"	""	""
"國境"	"guójìng"	"7"	"national border"	"frontier"	""
"君"	"jun1"	"7"	"monarch"	"lord, gentleman, ruler"	"國君 (guójūn)"
"國君"	"guójūn"	"7"	"monarch"	""	""
"國民"	"guómín"	"7"	"nationals"	"citizens, people of a nation"	""
"國營"	"guóyíng"	"7"	"state-run (company etc)"	"nationalized"	""
"果斷"	"guǒduàn"	"7"	"firm"	"decisive"	""
"果實"	"guǒshí"	"7"	"fruit (produced by a plant)"	"(fig.) fruits (of success etc), results, gains"	""
"果樹"	"guǒshù"	"7"	"fruit tree"	"CL:棵[ke1]"	""
"果真"	"guǒzhēn"	"7"	"really"	"as expected, sure enough, if indeed..., if it's really..."	""
"過關"	"guòguān"	"7"	"to cross a barrier"	"to get through (an ordeal), to pass (a test), to reach (a standard)"	""
"過量"	"guòliàng"	"7"	"excess"	"overdose"	""
"敏"	"min3"	"7"	"quick"	"nimble, agile, clever, smart"	"過敏 (guòmǐn)"
"過敏"	"guòmǐn"	"7"	"oversensitive"	"allergic, allergy"	""
"過目"	"guòmù"	"7"	"to look over"	""	""
"過人"	"guòrén"	"7"	"to surpass others"	"outstanding, (basketball, soccer etc) to get past an opponent"	""
"過失"	"guòshī"	"7"	"error"	"fault, (law) negligence, delinquency"	""
"癮"	"yin3"	"7"	"addiction"	"craving"	"過癮 (guòyǐn)"
"過癮"	"guòyǐn"	"7"	"to satisfy a craving"	"to get a kick out of sth, gratifying, immensely enjoyable, satisfying, fulfilling"	""
"過重"	"guòzhòng"	"7"	"overweight (luggage)"	""	""
"海拔"	"hăibá"	"7"	"height above sea level"	"elevation"	""
"海面"	"hăimiàn"	"7"	"sea level"	"sea surface"	""
"嘯"	"xiao4"	"7"	"to hiss"	"to whistle"	"海嘯 (hǎixiào)"
"海嘯"	"hǎixiào"	"7"	"tsunami"	""	""
"海運"	"hăiyùn"	"7"	"shipping by sea"	""	""
"害蟲"	"hàichóng"	"7"	"injurious insect"	"pest"	""
"行號"	"hánghào"	"7"	"(registered) company"	""	""
"行列"	"hángliè"	"7"	"ranks"	"procession"	""
"航空信"	"hángkōngxìn"	"7"	"airmail letter"	""	""
"航行"	"hángxíng"	"7"	"to sail"	"to fly, to navigate"	""
"毫不"	"háobù"	"7"	"hardly"	"not in the least, not at all"	""
"好比"	"hăobǐ"	"7"	"to be just like"	"can be compared to"	""
"好手"	"hăoshǒu"	"7"	"expert"	"professional"	""
"好受"	"hăoshòu"	"7"	"feeling better"	"to be more at ease"	""
"號子"	"hàozi"	"7"	"work chant"	"prison cell, type, sort, mark, sign, signal, (Tw) brokerage firm"	""
"合併"	"hébìng"	"7"	"to merge"	"to annex"	""
"合同"	"hétong"	"7"	"(business) contract"	"CL:個|个[ge4]"	""
"合意"	"héyì"	"7"	"to suit one's taste"	"suitable, congenial, by mutual agreement"	""
"合約"	"héyuē"	"7"	"treaty"	"contract"	""
"何在"	"hézài"	"7"	"where?"	"what place?"	""
"和解"	"héjiě"	"7"	"to settle (a dispute out of court)"	"to reconcile, settlement, conciliation, to become reconciled"	""
"睦"	"mu4"	"7"	"amicable"	"harmonious"	"和睦 (hémù)"
"和睦"	"hémù"	"7"	"peaceful relations"	"harmonious"	""
"諧"	"xie2"	"7"	"harmonious"	""	"和諧 (héxié)"
"和諧"	"héxié"	"7"	"harmonious"	"harmony, (euphemism) to censor"	""
"核"	"he2"	"7"	"variant of 核[he2]"	"to investigate"	"核定 (hédìng)"
"核定"	"hédìng"	"7"	"to audit and determine"	"to check and ratify, to appraise and decide, determination, on a deemed basis (taxation), to deem"	""
"核對"	"héduì"	"7"	"to check"	"to verify, to audit, to examine"	""
"核算"	"hésuàn"	"7"	"to calculate"	"accounting"	""
"核准"	"hézhŭn"	"7"	"to authorize"	"to investigate then ratify"	""
"核子"	"hézǐ"	"7"	"nuclear"	"nucleus"	""
"黑名單"	"hēimíngdān"	"7"	"blacklist"	"list of proscribed people (books etc)"	""
"黑社會"	"hēishèhuì"	"7"	"criminal underworld"	"organized crime syndicate"	""
"狠"	"hěn"	"7"	"ruthless"	"fierce, ferocious, determined, to harden (one's heart), old variant of 很[hen3]"	""
"狠心"	"hěnxīn"	"7"	"callous"	"heartless"	""
"哼"	"hēng"	"7"	"to groan"	"to snort, to hum, to croon, humph!"	""
"衡量"	"héngliáng"	"7"	"to weigh"	"to examine, to consider"	""
"轟"	"hong1"	"7"	"explosion"	"bang, boom, rumble, to attack, to shoo away, to expel"	"轟動 (hōngdòng)"
"轟動"	"hōngdòng"	"7"	"to cause a sensation"	"to create a stir in (a place), commotion, controversy"	""
"轟轟烈烈"	"hōnghōnglièliè"	"7"	"strong"	"vigorous, large-scale"	""
"紅利"	"hónglì"	"7"	"bonus"	"dividend"	""
"紅燒"	"hóngshāo"	"7"	"simmer-fried (dish)"	""	""
"洪"	"hong2"	"7"	"surname Hong"	"flood, big, great"	"洪水 (hóngshuǐ)"
"洪水"	"hóngshuǐ"	"7"	"deluge"	"flood"	""
"宏"	"hong2"	"7"	"great"	"magnificent, macro (computing), macro-"	"宏偉 (hóngwěi)"
"宏偉"	"hóngwěi"	"7"	"grand"	"imposing, magnificent"	""
"哄"	"hǒng"	"7"	"tumult"	"uproar, commotion, disturbance"	""
"後輩"	"hòubèi"	"7"	"younger generation"	""	""
"候選人"	"hòuxuănrén"	"7"	"candidate"	"CL:名[ming2]"	""
"籲"	"yu4"	"7"	"to implore"	""	"呼籲 (hūyù)"
"呼籲"	"hūyù"	"7"	"to call on (sb to do sth)"	"to appeal (to), an appeal"	""
"壺"	"hú"	"7"	"pot"	"classifier for bottled liquid"	""
"胡"	"hu2"	"7"	"beard"	"mustache, whiskers"	"胡亂 (húluàn)"
"胡亂"	"húluàn"	"7"	"careless"	"reckless, casually, absent-mindedly, at will, at random, any old how"	""
"狐"	"hu2"	"7"	"fox"	""	"狐疑 (húyí)"
"狐疑"	"húyí"	"7"	"suspicious"	"in doubt"	""
"戶口"	"hùkǒu"	"7"	"population (counted as number of households for census or taxation)"	"registered residence, residence permit, (in Hong Kong and Macau) bank account"	""
"互補"	"hùbŭ"	"7"	"complementary"	"to complement each other"	""
"互動"	"hùdòng"	"7"	"to interact"	"interactive"	""
"互惠"	"hùhuì"	"7"	"mutual benefit"	"mutually beneficial, reciprocal"	""
"瓣"	"ban4"	"7"	"petal"	"segment, clove (of garlic), piece, section, fragment, valve, lamella, classifier for pieces, segments etc"	"花瓣 (huābàn)"
"花瓣"	"huābàn"	"7"	"petal"	"CL:片[pian4]"	""
"花朵"	"huāduǒ"	"7"	"flower"	""	""
"卉"	"hui4"	"7"	"plants"	""	"花卉 (huāhuì)"
"花卉"	"huāhuì"	"7"	"flowers and plants"	""	""
"紋"	"wen2"	"7"	"line"	"trace, mark, pattern, grain (of wood etc)"	"花紋 (huāwén)"
"花紋"	"huāwén"	"7"	"decorative design"	""	""
"花樣"	"huāyàng"	"7"	"pattern"	"way of doing sth, trick, (sports) fancy-style (as figure skating etc)"	""
"划不來"	"huábùlái"	"7"	"not worth it"	""	""
"划得來"	"huádelái"	"7"	"worth it"	"it pays to"	""
"裔"	"yi4"	"7"	"descendants"	"frontier"	"華裔 (huáyì)"
"華裔"	"huáyì"	"7"	"ethnic Chinese"	"non-Chinese citizen of Chinese ancestry"	""
"化工"	"huàgōng"	"7"	"chemical industry, abbr. of 化學工業|化学工业[hua4 xue2 gong1 ye4]"	"chemical engineering, abbr. of 化學工程|化学工程[hua4 xue2 gong1 cheng2]"	""
"化石"	"huàshí"	"7"	"fossil"	""	""
"話劇"	"huàjù"	"7"	"stage play"	"modern drama, CL:臺|台[tai2],部[bu4]"	""
"畫面"	"huàmiàn"	"7"	"scene"	"tableau, picture, image, screen (displayed by a computer), (motion picture) frame, field of view"	""
"畫展"	"huàzhăn"	"7"	"art exhibition"	""	""
"劃"	"hua2 hua4"	"7"	"to cut"	"to slash, to scratch (cut into the surface of sth), to strike (a match), to delimit, to transfer, to assign, to plan, to draw (a line), stroke of a Chinese character"	"劃時代 (huàshídài)"
"劃時代"	"huàshídài"	"7"	"epoch-marking"	""	""
"懷疑"	"huáiyí"	"7"	"to doubt (sth)"	"to be skeptical of, to have one's doubts, to harbor suspicions, to suspect that"	""
"歡送"	"huānsòng"	"7"	"to see off"	"to send off"	""
"幻象"	"huànxiàng"	"7"	"illusion"	""	""
"換取"	"huànqŭ"	"7"	"to obtain (sth) in exchange"	"to exchange (sth) for (sth else)"	""
"患"	"huàn"	"7"	"to suffer (from illness)"	"to contract (a disease), misfortune, trouble, danger, worry"	""
"患者"	"huànzhě"	"7"	"patient"	"sufferer"	""
"荒"	"huang1"	"7"	"desolate"	"shortage, scarce, out of practice, absurd, uncultivated, to neglect"	"荒唐 (huāngtáng)"
