"Simplified"	"Traditional"	"Pinyin"	"Level"	"Parent"	"Meaning"
"理学"	"理學"	"lǐxué"	"7"	""	"School of Principle"
"礼服"	"禮服"	"lǐfú"	"7"	""	"ceremonial robe"
"礼节"	"禮節"	"lǐjié"	"7"	""	"etiquette"
"力学"	"力學"	"lìxué"	"7"	""	"mechanics"
"立国"	"立國"	"lìguó"	"7"	""	"to found a country"
"立体"	"立體"	"lìtǐ"	"7"	""	"three-dimensional"
"历届"	"歷屆"	"lìjiè"	"7"	""	"all previous (meetings, sessions etc)"
"历来"	"歷來"	"lìlái"	"7"	""	"always"
"历年"	"歷年"	"lìnián"	"7"	""	"over the years"
"联盟"	"聯盟"	"liánméng"	"7"	""	"alliance"
"联系"	"聯繫"	"liánxì"	"7"	""	"connection"
"联想"	"聯想"	"liánxiăng"	"7"	""	"to associate (cognitively)"
"连带"	"連帶"	"liándài"	"7"	""	"to be related"
"连结"	"連結"	"liánjié"	"7"	""	"variant of 聯結|联结[lian2 jie2]"
"连任"	"連任"	"liánrèn"	"7"	""	"to continue in (a political) office"
"连线"	"連線"	"liánxiàn"	"7"	""	"electrical lead"
"廉价"	"廉價"	"liánjià"	"7"	""	"cheaply-priced"
"廉洁"	"廉潔"	"liánjié"	"7"	""	"honest"
"庞"	"龐"	"páng"	"7"	"臉龐"	"huge"
"脸庞"	"臉龐"	"liănpáng"	"7"	""	"face"
"谱"	"譜"	"pǔ"	"7"	"臉譜"	"chart"
"脸谱"	"臉譜"	"liănpŭ"	"7"	""	"Facebook"
"良机"	"良機"	"liángjī"	"7"	""	"a good chance"
"两极"	"兩極"	"liăngjí"	"7"	""	"the two poles"
"两口子"	"兩口子"	"liăngkǒuzi"	"7"	""	"husband and wife"
"辽"	"遼"	"liáo"	"7"	"遼闊"	"short name for Liaoning 遼寧|辽宁[Liao2 ning2] province"
"辽阔"	"遼闊"	"liáokuò"	"7"	""	"vast"
"列车"	"列車"	"lièchē"	"7"	""	"(railway) train"
"列国"	"列國"	"lièguó"	"7"	""	"various countries"
"猎人"	"獵人"	"lièrén"	"7"	""	"hunter"
"临床"	"臨床"	"línchuáng"	"7"	""	"clinical"
"邻里"	"鄰里"	"línlǐ"	"7"	""	"neighbor"
"铃"	"鈴"	"líng"	"7"	""	"(small) bell"
"灵感"	"靈感"	"línggăn"	"7"	""	"inspiration"
"灵验"	"靈驗"	"língyàn"	"7"	""	"efficacious"
"领队"	"領隊"	"lǐngduì"	"7"	""	"to lead a group"
"领会"	"領會"	"lǐnghuì"	"7"	""	"to understand"
"领悟"	"領悟"	"lǐngwù"	"7"	""	"to understand"
"流传"	"流傳"	"liúchuán"	"7"	""	"to spread"
"柳树"	"柳樹"	"liŭshù"	"7"	""	"willow"
"笼子"	"籠子"	"lóngzi"	"7"	""	"cage"
"笼罩"	"籠罩"	"lóngzhào"	"7"	""	"to envelop"
"垄"	"壟"	"lǒng"	"7"	"壟斷"	"ridge between fields"
"垄断"	"壟斷"	"lǒngduàn"	"7"	""	"to enjoy market dominance"
"楼房"	"樓房"	"lóufáng"	"7"	""	"a building of two or more stories"
"炉"	"爐"	"lú"	"7"	"爐子"	"stove"
"炉子"	"爐子"	"lúzi"	"7"	""	"stove"
"陆地"	"陸地"	"lùdì"	"7"	""	"dry land (as opposed to the sea)"
"路过"	"路過"	"lùguò"	"7"	""	"to pass by or through"
"录影"	"錄影"	"lùyǐng"	"7"	""	"to videotape"
"录影机"	"錄影機"	"lùyǐngjī"	"7"	""	"camcorder"
"轮廓"	"輪廓"	"lúnkuò"	"7"	""	"an outline"
"伦"	"倫"	"lún"	"7"	"倫理"	"human relationship"
"伦理"	"倫理"	"lúnlǐ"	"7"	""	"ethics"
"沦"	"淪"	"lún"	"7"	"淪陷"	"to sink (into ruin, oblivion)"
"沦陷"	"淪陷"	"lúnxiàn"	"7"	""	"to fall into enemy hands"
"论点"	"論點"	"lùndiăn"	"7"	""	"argument"
"啰"	"囉"	"luō"	"7"	"囉嗦"	"(final exclamatory particle)"
"啰嗦"	"囉嗦"	"luōsuo"	"7"	""	"long-winded"
"锣"	"鑼"	"luó"	"7"	""	"gong"
"逻"	"邏"	"luó"	"7"	"邏輯"	"patrol"
"逻辑"	"邏輯"	"luójí"	"7"	""	"logic (loanword)"
"落选"	"落選"	"luòxuăn"	"7"	""	"to fail to be chosen (or elected)"
"骆"	"駱"	"luò"	"7"	"駱駝"	"camel"
"驼"	"駝"	"tuó"	"7"	"駱駝"	"hump or hunchbacked"
"骆驼"	"駱駝"	"luòtuo"	"7"	""	"camel"
"驴"	"驢"	"lǘ"	"7"	""	"donkey"
"铝"	"鋁"	"lǚ"	"7"	""	"aluminum (chemistry)"
"旅费"	"旅費"	"lǚfèi"	"7"	""	"travel expenses"
"履历"	"履歷"	"lǚlì"	"7"	""	"background (academic and work)"
"马铃薯"	"馬鈴薯"	"mălíngshŭ"	"7"	""	"potato"
"买主"	"買主"	"măizhŭ"	"7"	""	"customer"
"迈"	"邁"	"mài"	"7"	""	"to take a step"
"迈进"	"邁進"	"màijìn"	"7"	""	"to step in"
"麦子"	"麥子"	"màizi"	"7"	""	"wheat"
"卖座"	"賣座"	"màizuò"	"7"	""	"(of a movie, show etc) to attract large audiences"
"瞒"	"瞞"	"mán"	"7"	""	"to conceal from"
"蛮"	"蠻"	"mán"	"7"	"蠻橫"	"barbarian"
"蛮横"	"蠻橫"	"mánhèng"	"7"	""	"rude and unreasonable"
"满怀"	"滿懷"	"mănhuái"	"7"	""	"to have one's heart filled with"
"漫长"	"漫長"	"màncháng"	"7"	""	"very long"
"盲从"	"盲從"	"mángcóng"	"7"	""	"to follow blindly"
"冒险"	"冒險"	"màoxiăn"	"7"	""	"to take risks"
"眉头"	"眉頭"	"méitóu"	"7"	""	"brows"
"媒体"	"媒體"	"méitǐ"	"7"	""	"media, esp. news media"
"美满"	"美滿"	"měimăn"	"7"	""	"happy"
"闷"	"悶"	"mēn"	"7"	""	"stuffy"
"闷热"	"悶熱"	"mēnrè"	"7"	""	"sultry"
"门户"	"門戶"	"ménhù"	"7"	""	"door"
"梦见"	"夢見"	"mèngjiàn"	"7"	""	"to dream about (sth or sb)"
"谜"	"謎"	"mí"	"7"	""	"riddle"
"谜语"	"謎語"	"míyŭ"	"7"	""	"riddle"
"迷宫"	"迷宮"	"mígōng"	"7"	""	"maze"
"迷恋"	"迷戀"	"míliàn"	"7"	""	"to be infatuated with"
"弥"	"彌"	"mí"	"7"	"彌補"	"full"
"弥补"	"彌補"	"míbŭ"	"7"	""	"to complement"
"名额"	"名額"	"míngé"	"7"	""	"quota"
"名号"	"名號"	"mínghào"	"7"	""	"name"
"名气"	"名氣"	"míngqì"	"7"	""	"reputation"
"名胜"	"名勝"	"míngshèng"	"7"	""	"a place famous for its scenery or historical relics"
"名声"	"名聲"	"míngshēng"	"7"	""	"reputation"
"绵"	"綿"	"mián"	"7"	"綿延"	"silk floss"
"绵延"	"綿延"	"miányán"	"7"	""	"continuous (esp. of mountain ranges)"
"免税"	"免稅"	"miănshuì"	"7"	""	"not liable to taxation (of monastery, imperial family etc)"
"面谈"	"面談"	"miàntán"	"7"	""	"face-to-face meeting"
"描绘"	"描繪"	"miáohuì"	"7"	""	"to describe"
"民营"	"民營"	"mínyíng"	"7"	""	"privately run (i.e. by a company, not the state)"
"模范"	"模範"	"mófàn"	"7"	""	"model"
"魔术"	"魔術"	"móshù"	"7"	""	"magic"
"没落"	"沒落"	"mòluò"	"7"	""	"to decline"
"没收"	"沒收"	"mòshōu"	"7"	""	"to confiscate"
"漠视"	"漠視"	"mòshì"	"7"	""	"to ignore"
"谋生"	"謀生"	"móushēng"	"7"	""	"to seek one's livelihood"
"亩"	"畝"	"mŭ"	"7"	""	"classifier for fields"
"母语"	"母語"	"mǔyǔ"	"7"	""	"native language"
"目击"	"目擊"	"mùjí"	"7"	""	"to see with one's own eyes"
"牧场"	"牧場"	"mùchăng"	"7"	""	"pasture"
"纳闷"	"納悶"	"nàmèn"	"7"	""	"puzzled"
"纳入"	"納入"	"nàrù"	"7"	""	"to bring into"
"纳税"	"納稅"	"nàshuì"	"7"	""	"to pay taxes"
"南极洲"	"南極洲"	"nánjízhōu"	"7"	""	"Antarctica"
"难度"	"難度"	"nándù"	"7"	""	"trouble"
"难关"	"難關"	"nánguān"	"7"	""	"difficulty"
"难免"	"難免"	"nánmiăn"	"7"	""	"hard to avoid"
"难题"	"難題"	"nántí"	"7"	""	"difficult problem"
"难民"	"難民"	"nànmín"	"7"	""	"refugee"
"脑海"	"腦海"	"năohăi"	"7"	""	"the mind"
"脑力"	"腦力"	"năolì"	"7"	""	"mental capacity"
"阁"	"閣"	"gé"	"7"	"內閣"	"pavilion (usu. two-storied)"
"内阁"	"內閣"	"nèigé"	"7"	""	"(government) cabinet"
"内涵"	"內涵"	"nèihán"	"7"	""	"meaningful content"
"内销"	"內銷"	"nèixiāo"	"7"	""	"to sell in the domestic market"
"内在"	"內在"	"nèizài"	"7"	""	"inner"
"内战"	"內戰"	"nèizhàn"	"7"	""	"civil war"
"内政"	"內政"	"nèizhèng"	"7"	""	"internal affairs (of a country)"
"拟定"	"擬定"	"nǐdìng"	"7"	""	"to draw up"
"念头"	"念頭"	"niàntou"	"7"	""	"thought"
"凝结"	"凝結"	"níngjié"	"7"	""	"to condense"
"凝视"	"凝視"	"níngshì"	"7"	""	"to gaze at"
"扭转"	"扭轉"	"niŭzhuăn"	"7"	""	"to reverse"
"农具"	"農具"	"nóngjù"	"7"	""	"farm implements"
"农田"	"農田"	"nóngtián"	"7"	""	"farmland"
"农作物"	"農作物"	"nóngzuòwù"	"7"	""	"(farm) crops"
"弄错"	"弄錯"	"nòngcuò"	"7"	""	"to err"
"隶"	"隸"	"lì"	"7"	"奴隸"	"attached to"
"奴隶"	"奴隸"	"núlì"	"7"	""	"slave"
"怒气"	"怒氣"	"nùqì"	"7"	""	"anger"
"诺言"	"諾言"	"nuòyán"	"7"	""	"promise"
"欧"	"歐"	"ōu"	"7"	"歐洲"	"Europe"
"欧洲"	"歐洲"	"ōuzhōu"	"7"	""	"Europe"
"拍马屁"	"拍馬屁"	"pāimăpì"	"7"	""	"to flatter"
"拍摄"	"拍攝"	"pāishè"	"7"	""	"to film"
"排挤"	"排擠"	"páijǐ"	"7"	""	"to crowd out"
"派对"	"派對"	"pàiduì"	"7"	""	"party (loanword)"
"派头"	"派頭"	"pàitóu"	"7"	""	"manner"
"旁听"	"旁聽"	"pángtīng"	"7"	""	"to visit (a meeting, class, trial etc)"
"抛"	"拋"	"pāo"	"7"	""	"to throw"
"抛弃"	"拋棄"	"pāoqì"	"7"	""	"to abandon"
"培训"	"培訓"	"péixùn"	"7"	""	"to cultivate"
"配给"	"配給"	"pèijǐ"	"7"	""	"to ration"
"喷漆"	"噴漆"	"pēnqī"	"7"	""	"to spray paint or lacquer"
"捧场"	"捧場"	"pěngchăng"	"7"	""	"to cheer on (originally esp. as paid stooge)"
"批发"	"批發"	"pīfā"	"7"	""	"wholesale"
"惫"	"憊"	"bèi"	"7"	"疲憊"	"exhausted"
"疲惫"	"疲憊"	"píbèi"	"7"	""	"beaten"
"贫苦"	"貧苦"	"pínkŭ"	"7"	""	"poverty-stricken"
"贫民"	"貧民"	"pínmín"	"7"	""	"poor people"
"品种"	"品種"	"pǐnzhǒng"	"7"	""	"breed"
"平稳"	"平穩"	"píngwěn"	"7"	""	"smooth"
"评估"	"評估"	"pínggū"	"7"	""	"to evaluate"
"评价"	"評價"	"píngjià"	"7"	""	"to evaluate"
"评论"	"評論"	"pínglùn"	"7"	""	"to comment on"
"破产"	"破產"	"pòchăn"	"7"	""	"to go bankrupt"
"破获"	"破獲"	"pòhuò"	"7"	""	"to uncover (a criminal plot)"
"朴"	"樸"	"pǔ"	"7"	"樸素"	"plain and simple"
"朴素"	"樸素"	"púsù"	"7"	""	"plain and simple"
"凄"	"淒"	"qī"	"7"	"淒涼"	"intense cold"
"凄凉"	"淒涼"	"qīliáng"	"7"	""	"desolate (place)"
"奇观"	"奇觀"	"qíguān"	"7"	""	"spectacle"
"奇异"	"奇異"	"qíyì"	"7"	""	"fantastic"
"期货"	"期貨"	"qíhuò"	"7"	""	"abbr. for 期貨合約|期货合约[qi1 huo4 he2 yue1], futures contract (finance)"
"帜"	"幟"	"zhì"	"7"	"旗幟"	"flag"
"旗帜"	"旗幟"	"qízhì"	"7"	""	"ensign"
"启发"	"啟發"	"qǐfā"	"7"	""	"to enlighten"
"启示"	"啟示"	"qǐshì"	"7"	""	"to reveal"
"启事"	"啟事"	"qǐshì"	"7"	""	"announcement (written, on billboard, letter, newspaper or website)"
"起码"	"起碼"	"qǐmă"	"7"	""	"at the minimum"
"气概"	"氣概"	"qìgài"	"7"	""	"lofty quality"
"气管"	"氣管"	"qìguăn"	"7"	""	"windpipe"
"气派"	"氣派"	"qìpai"	"7"	""	"imposing manner or style"
"气势"	"氣勢"	"qìshì"	"7"	""	"imposing manner"
"气体"	"氣體"	"qìtǐ"	"7"	""	"gas (i.e. gaseous substance)"
"气压"	"氣壓"	"qìyā"	"7"	""	"atmospheric pressure"
"契机"	"契機"	"qìjī"	"7"	""	"opportunity"
"弃权"	"棄權"	"qìquán"	"7"	""	"to abstain from voting"
"恰当"	"恰當"	"qiàdàng"	"7"	""	"appropriate"
"洽谈"	"洽談"	"qiàtán"	"7"	""	"to discuss"
"牵连"	"牽連"	"qiānlián"	"7"	""	"to implicate"
"签署"	"簽署"	"qiānshù"	"7"	""	"to sign (an agreement)"
"逊"	"遜"	"xùn"	"7"	"謙遜"	"to abdicate"
"谦逊"	"謙遜"	"qiānxùn"	"7"	""	"humble"
"前辈"	"前輩"	"qiánbèi"	"7"	""	"senior"
"前后"	"前後"	"qiánhòu"	"7"	""	"around"
"潜"	"潛"	"qián"	"7"	"潛藏"	"hidden"
"潜藏"	"潛藏"	"qiáncáng"	"7"	""	"hidden beneath the surface"
"潜力"	"潛力"	"qiánlì"	"7"	""	"potential"
"虔诚"	"虔誠"	"qiánchéng"	"7"	""	"pious"
"浅薄"	"淺薄"	"qiănbó"	"7"	""	"superficial"
"浅显"	"淺顯"	"qiănxiăn"	"7"	""	"plain"
"腔调"	"腔調"	"qiāngdiào"	"7"	""	"accent"
"墙角"	"牆角"	"qiángjiăo"	"7"	""	"corner (junction of two walls)"
"强劲"	"強勁"	"qiángjìng"	"7"	""	"strong"
"强求"	"強求"	"qiăngqiú"	"7"	""	"to insist on"
"强权"	"強權"	"qiángquán"	"7"	""	"power"
"强壮"	"強壯"	"qiángzhuàng"	"7"	""	"strong"
"梁"	"樑"	"liáng"	"7"	"橋樑"	"variant of 梁[liang2]"
"翘"	"翹"	"qiào"	"7"	""	"outstanding"
"翘课"	"翹課"	"qiàokè"	"7"	""	"to skip school"
"切实"	"切實"	"qièshí"	"7"	""	"feasible"
"窃"	"竊"	"qiè"	"7"	"竊賊"	"to steal"
"贼"	"賊"	"zéi"	"7"	"竊賊"	"thief"
"窃贼"	"竊賊"	"qièzéi"	"7"	""	"thief"
"亲热"	"親熱"	"qīnrè"	"7"	""	"affectionate"
"亲身"	"親身"	"qīnshēn"	"7"	""	"personal"
"亲生"	"親生"	"qīnshēng"	"7"	""	"one's own (child) (i.e. one's child by birth)"
"侵蚀"	"侵蝕"	"qīnshí"	"7"	""	"to erode"
"侵袭"	"侵襲"	"qīnxí"	"7"	""	"to invade"
"钦"	"欽"	"qīn"	"7"	"欽佩"	"to respect"
"钦佩"	"欽佩"	"qīnpèi"	"7"	""	"to admire"
"勤奋"	"勤奮"	"qínfèn"	"7"	""	"hardworking"
"清洁"	"清潔"	"qīngjié"	"7"	""	"clean"
"清静"	"清靜"	"qīngjìng"	"7"	""	"quiet"
"清扫"	"清掃"	"qīngsăo"	"7"	""	"to tidy up"
"轻薄"	"輕薄"	"qīngbó"	"7"	""	"light (weight)"
"轻蔑"	"輕蔑"	"qīngmiè"	"7"	""	"to contempt"
"轻易"	"輕易"	"qīngyì"	"7"	""	"easily"
"情报"	"情報"	"qíngbào"	"7"	""	"information"
"情妇"	"情婦"	"qíngfù"	"7"	""	"mistress"
"情节"	"情節"	"qíngjié"	"7"	""	"plot"
"侣"	"侶"	"lǔ:"	"7"	"情侶"	"companion"
"情侣"	"情侶"	"qínglǚ"	"7"	""	"sweethearts"
"庆幸"	"慶幸"	"qìngxìng"	"7"	""	"to rejoice"
"求学"	"求學"	"qiúxué"	"7"	""	"to seek knowledge"
"趋"	"趨"	"qū"	"7"	"趨勢"	"to hasten"
"趋势"	"趨勢"	"qūshì"	"7"	""	"trend"
"取缔"	"取締"	"qŭdì"	"7"	""	"to suppress"
"取样"	"取樣"	"qŭyàng"	"7"	""	"to take a sample"
"悦"	"悅"	"yuè"	"7"	"取悅"	"pleased"
"取悦"	"取悅"	"qŭyuè"	"7"	""	"to try to please"
"全盘"	"全盤"	"quánpán"	"7"	""	"overall"
"权力"	"權力"	"quánlì"	"7"	""	"power"
"权威"	"權威"	"quánwēi"	"7"	""	"authority"
"权益"	"權益"	"quányì"	"7"	""	"rights"
"劝导"	"勸導"	"quàndăo"	"7"	""	"to advise"
"劝告"	"勸告"	"quàngào"	"7"	""	"to advise"
"确保"	"確保"	"quèbăo"	"7"	""	"to ensure"
"确切"	"確切"	"quèqiè"	"7"	""	"definite"
"群岛"	"群島"	"qúndăo"	"7"	""	"group of islands"
"饶"	"饒"	"ráo"	"7"	""	"rich"
"热潮"	"熱潮"	"rècháo"	"7"	""	"upsurge"
"热带"	"熱帶"	"rèdài"	"7"	""	"the tropics"
"热量"	"熱量"	"rèliàng"	"7"	""	"heat"
"热水瓶"	"熱水瓶"	"rèshuǐpíng"	"7"	""	"thermos bottle"
"仁爱"	"仁愛"	"rénài"	"7"	""	"benevolence"
"人祸"	"人禍"	"rénhuò"	"7"	""	"human disaster"
"人际"	"人際"	"rénjì"	"7"	""	"human relationships"
"人选"	"人選"	"rénxuăn"	"7"	""	"choice of person"
"认错"	"認錯"	"rèncuò"	"7"	""	"to admit an error"
"认定"	"認定"	"rèndìng"	"7"	""	"to maintain (that sth is true)"
"日光灯"	"日光燈"	"rìguāngdēng"	"7"	""	"fluorescent light"
"容纳"	"容納"	"róngnà"	"7"	""	"to hold"
"容许"	"容許"	"róngxŭ"	"7"	""	"to permit"
"誉"	"譽"	"yù"	"7"	"榮譽"	"to praise"
"荣誉"	"榮譽"	"róngyù"	"7"	""	"honor"
"柔软"	"柔軟"	"róuruăn"	"7"	""	"soft"
"肉体"	"肉體"	"ròutǐ"	"7"	""	"physical body"
"软弱"	"軟弱"	"ruănruò"	"7"	""	"weak"
"软体"	"軟體"	"ruăntǐ"	"7"	""	"software (Tw)"
"谎"	"謊"	"huǎng"	"7"	"撒謊"	"lies"
"撒谎"	"撒謊"	"sāhuăng"	"7"	""	"to tell lies"
"洒"	"灑"	"să"	"7"	""	"to sprinkle"
"塞车"	"塞車"	"sāichē"	"7"	""	"traffic jam"
"丧事"	"喪事"	"sāngshì"	"7"	""	"funeral arrangements"
"丧生"	"喪生"	"sàngshēng"	"7"	""	"to die"
"骚动"	"騷動"	"sāodòng"	"7"	""	"disturbance"
"泽"	"澤"	"zé"	"7"	"色澤"	"pool"
"色泽"	"色澤"	"sèzé"	"7"	""	"color and luster"
"刹"	"剎"	"shāchē"	"7"	""	"to brake"
"哑"	"啞"	"yă"	"7"	"沙啞"	"(onom.) sound of cawing"
"沙哑"	"沙啞"	"shāyă"	"7"	""	"hoarse"
"山脉"	"山脈"	"shānmài"	"7"	""	"mountain range"
"闪电"	"閃電"	"shăndiàn"	"7"	""	"lightning"
"烁"	"爍"	"shuò"	"7"	"閃爍"	"bright"
"闪烁"	"閃爍"	"shănshuò"	"7"	""	"flickering"
"闪耀"	"閃耀"	"shănyào"	"7"	""	"to glint"
"擅长"	"擅長"	"shàncháng"	"7"	""	"to be good at"
"伤口"	"傷口"	"shāngkǒu"	"7"	""	"wound"
"伤亡"	"傷亡"	"shāngwáng"	"7"	""	"casualties"
"商讨"	"商討"	"shāngtăo"	"7"	""	"to discuss"
"上进"	"上進"	"shàngjìn"	"7"	""	"to make progress"
"上门"	"上門"	"shàngmén"	"7"	""	"to drop in"
"上瘾"	"上癮"	"shàngyǐn"	"7"	""	"to get into a habit"
"上涨"	"上漲"	"shàngzhăng"	"7"	""	"to rise"
"烧香"	"燒香"	"shāoxiāng"	"7"	""	"to burn incense"
"设施"	"設施"	"shèshī"	"7"	""	"facilities"
"设想"	"設想"	"shèxiăng"	"7"	""	"to imagine"
"射击"	"射擊"	"shèjí"	"7"	""	"to shoot"
"社论"	"社論"	"shèlùn"	"7"	""	"editorial (in a newspaper)"
"社区"	"社區"	"shèqū"	"7"	""	"community"
"摄取"	"攝取"	"shèqŭ"	"7"	""	"to absorb (nutrients etc)"
"摄氏"	"攝氏"	"shèshì"	"7"	""	"Celsius"
"摄影机"	"攝影機"	"shèyǐngjī"	"7"	""	"camera"
"深奥"	"深奧"	"shēnào"	"7"	""	"profound"
"身为"	"身為"	"shēnwéi"	"7"	""	"in the capacity of"
"伸张"	"伸張"	"shēnzhāng"	"7"	""	"to uphold (e.g. justice or virtue)"
"审核"	"審核"	"shěnhé"	"7"	""	"to audit"
"审判"	"審判"	"shěnpàn"	"7"	""	"a trial"
"审慎"	"審慎"	"shěnshèn"	"7"	""	"prudent"
"审议"	"審議"	"shěnyì"	"7"	""	"deliberation"
"渗"	"滲"	"shèn"	"7"	"滲入"	"to seep"
"渗入"	"滲入"	"shènrù"	"7"	""	"to permeate"
"生词"	"生詞"	"shēngcí"	"7"	""	"new word (in textbook)"
"生态"	"生態"	"shēngtài"	"7"	""	"ecology"
"升迁"	"升遷"	"shēngqiān"	"7"	""	"promote"
"声称"	"聲稱"	"shēngchēng"	"7"	""	"to claim"
"声明"	"聲明"	"shēngmíng"	"7"	""	"to state"
"声势"	"聲勢"	"shēngshì"	"7"	""	"fame and power"
"盛装"	"盛裝"	"shèngzhuāng"	"7"	""	"(of a receptacle etc) to contain"
"胜地"	"勝地"	"shèngdì"	"7"	""	"well-known scenic spot"
"贤"	"賢"	"xián"	"7"	"聖賢"	"worthy or virtuous person"
"圣贤"	"聖賢"	"shèngxián"	"7"	""	"a sage"
"失灵"	"失靈"	"shīlíng"	"7"	""	"out of order (of machine)"
"踪"	"蹤"	"zōng"	"7"	"失蹤"	"footprint"
"失踪"	"失蹤"	"shīzōng"	"7"	""	"to be missing"
"师范"	"師範"	"shīfàn"	"7"	""	"teacher-training"
"尸"	"屍"	"shī"	"7"	"屍體"	"corpse"
"尸体"	"屍體"	"shītǐ"	"7"	""	"dead body"
"时差"	"時差"	"shíchā"	"7"	""	"time difference"
"时光"	"時光"	"shíguāng"	"7"	""	"time"
"时节"	"時節"	"shíjié"	"7"	""	"season"
"时髦"	"時髦"	"shímáo"	"7"	""	"in vogue"
"时效"	"時效"	"shíxiào"	"7"	""	"effectiveness for a given period of time"
"实地"	"實地"	"shídì"	"7"	""	"on-site"
"践"	"踐"	"jiàn"	"7"	"實踐"	"to fulfill (a promise)"
"实践"	"實踐"	"shíjiàn"	"7"	""	"practice"
"实况"	"實況"	"shíkuàng"	"7"	""	"live (e.g. broadcast or recording)"
"实例"	"實例"	"shílì"	"7"	""	"an actual example"
"实习"	"實習"	"shíxí"	"7"	""	"to practice"
"实证"	"實證"	"shízhèng"	"7"	""	"actual proof"
"实质"	"實質"	"shízhí"	"7"	""	"substance"
"唤"	"喚"	"huàn"	"7"	"使喚"	"to call"
"使唤"	"使喚"	"shǐhuàn"	"7"	""	"to order sb about"
"使节"	"使節"	"shǐjié"	"7"	""	"(diplomatic) envoy"
"使劲"	"使勁"	"shǐjìng"	"7"	""	"to exert all one's strength"
"示范"	"示範"	"shìfàn"	"7"	""	"to demonstrate"
"世间"	"世間"	"shìjiān"	"7"	""	"world"
"试卷"	"試卷"	"shìjuàn"	"7"	""	"examination paper"
"试图"	"試圖"	"shìtú"	"7"	""	"to attempt"
"势必"	"勢必"	"shìbì"	"7"	""	"to be bound to"
"事变"	"事變"	"shìbiàn"	"7"	""	"incident"
"事态"	"事態"	"shìtài"	"7"	""	"situation"
"事务"	"事務"	"shìwù"	"7"	""	"(political, economic etc) affairs"
"释放"	"釋放"	"shìfàng"	"7"	""	"to release"
"视为"	"視為"	"shìwéi"	"7"	""	"to view as"
"适宜"	"適宜"	"shìyí"	"7"	""	"suitable"
"适中"	"適中"	"shìzhōng"	"7"	""	"moderate"
"收费"	"收費"	"shōufèi"	"7"	""	"to charge a fee"
"收买"	"收買"	"shōumăi"	"7"	""	"to purchase"
"收缩"	"收縮"	"shōusuō"	"7"	""	"to pull back"
"收听"	"收聽"	"shōutīng"	"7"	""	"to listen to (a radio broadcast)"
"手册"	"手冊"	"shǒucè"	"7"	""	"manual"
"手枪"	"手槍"	"shǒuqiāng"	"7"	""	"pistol"
"手势"	"手勢"	"shǒushì"	"7"	""	"gesture"
"守护"	"守護"	"shǒuhù"	"7"	""	"to guard"
"首领"	"首領"	"shǒulǐng"	"7"	""	"head"
"首饰"	"首飾"	"shǒushì"	"7"	""	"jewelry"
"首长"	"首長"	"shǒuzhǎng"	"7"	""	"senior official"
"受训"	"受訓"	"shòuxùn"	"7"	""	"to receive training"
"售货员"	"售貨員"	"shòuhuòyuán"	"7"	""	"salesperson"
"授课"	"授課"	"shòukè"	"7"	""	"to teach"
"狩猎"	"狩獵"	"shòuliè"	"7"	""	"to hunt"
"寿星"	"壽星"	"shòuxīng"	"7"	""	"god of longevity"
"疏导"	"疏導"	"shūdăo"	"7"	""	"to dredge"
"书本"	"書本"	"shūběn"	"7"	""	"book"
"书面"	"書面"	"shūmiàn"	"7"	""	"in writing"
"书写"	"書寫"	"shūxiě"	"7"	""	"to write"
"舒畅"	"舒暢"	"shūchàng"	"7"	""	"happy"
"输血"	"輸血"	"shūxiě"	"7"	""	"to transfuse blood"
"缚"	"縛"	"fù"	"7"	"束縛"	"to bind"
"束缚"	"束縛"	"shùfú"	"7"	""	"to bind"
"树苗"	"樹苗"	"shùmiáo"	"7"	""	"sapling"
"数据"	"數據"	"shùjù"	"7"	""	"data"
"双重"	"雙重"	"shuāngchóng"	"7"	""	"double"
"双打"	"雙打"	"shuāngdă"	"7"	""	"doubles (in sports)"
"水库"	"水庫"	"shuǐkù"	"7"	""	"reservoir"
"水蒸气"	"水蒸氣"	"shuǐzhēngqì"	"7"	""	"vapor"
"顺从"	"順從"	"shùncóng"	"7"	""	"obedient"
"顺应"	"順應"	"shùnyìng"	"7"	""	"to comply"
"瞬间"	"瞬間"	"shùnjiān"	"7"	""	"in an instant"
"说谎"	"說謊"	"shuōhuăng"	"7"	""	"to lie"
"说笑"	"說笑"	"shuōxiào"	"7"	""	"to chat and laugh"
"思维"	"思維"	"sīwéi"	"7"	""	"(line of) thought"
"丝毫"	"絲毫"	"sīháo"	"7"	""	"the slightest amount or degree"
"赐"	"賜"	"sì"	"7"	""	"to confer"
"松树"	"松樹"	"sōngshù"	"7"	""	"pine"
"怂"	"慫"	"sǒng"	"7"	"慫恿"	"terrified"
"怂恿"	"慫恿"	"sǒngyǒng"	"7"	""	"to instigate"
"俗称"	"俗稱"	"súchēng"	"7"	""	"commonly referred to as"
"俗语"	"俗語"	"súyŭ"	"7"	""	"common saying"
"胶"	"膠"	"jiāo"	"7"	"塑膠"	"to glue"
"塑胶"	"塑膠"	"sùjiāo"	"7"	""	"plastic"
"诉苦"	"訴苦"	"sùkŭ"	"7"	""	"to grumble"
"素质"	"素質"	"sùzhí"	"7"	""	"inner quality"
"算术"	"算術"	"suànshù"	"7"	""	"arithmetic"
"虽说"	"雖說"	"suīshuō"	"7"	""	"though"
"随后"	"隨後"	"suíhòu"	"7"	""	"soon after"
