"Pinyin","AllWords","Definitions"
"guǎnzi","管子","管子 Guanzi or Guan Zhong 管仲 (-645 BC), famous politician of Qi 齊國|齐国 of Spring and Autumn period, Guanzi, classical book containing writings of Guan Zhong and his school, tube, pipe, drinking straw, CL:根[gen1]"
"guànchè","貫徹","貫徹 to implement, to put into practice, to carry out"
"guàngài","灌溉","灌溉 to irrigate"
"guànshū","灌輸","灌輸 to imbue with, to inculcate, to instill into, to teach, to impart, to channel water to another place"
"guānggù","光顧","光顧 to visit (as a customer)"
"guānghuá","光滑","光滑 glossy, sleek, smooth"
"guānghuī","光輝","光輝 radiance, glory, brilliant, magnificent"
"guāngmáng","光芒","光芒 rays of light, brilliant rays, radiance"
"guīfàn","規範","規範 norm, standard, specification, regulation, rule, within the rules, to fix rules, to regulate, to specify"
"guīgé","規格","規格 standard, norm, specification"
"guī","歸","歸 to return, to go back to, to give back to, (of a responsibility) to be taken care of by, to belong to, to gather together, (used between two identical verbs) despite, to marry (of a woman) (old), division on the abacus with a one-digit divisor, surname Gui"
"guīhuán","歸還","歸還 to return sth, to revert"
"guīnà","歸納","歸納 to sum up, to summarize, to conclude from facts, induction (method of deduction in logic)"
"guǐdào","軌道","軌道 orbit, railway or tram line, fig. conventional way of thinking"
"guǐguài","鬼怪","鬼怪 hobgoblin, bogey, phantom"
"guìbīn","貴賓","貴賓 honored guest, distinguished guest, VIP"
"gùnzi","棍子","棍子 stick, rod"
"guóchǎn","國產","國產 made in one's own country, made in China"
"guófáng","國防","國防 national defense"
"guójìng","國境","國境 national border, frontier"
"guójūn","國君","國君 monarch"
"guómín","國民","國民 nationals, citizens, people of a nation"
"guóyíng","國營","國營 state-run (company etc), nationalized"
"guǒduàn","果斷","果斷 firm, decisive"
"guǒshí","果實","果實 fruit (produced by a plant), (fig.) fruits (of success etc), results, gains"
"guǒshù","果樹","果樹 fruit tree, CL:棵[ke1]"
"guǒzhēn","果真","果真 really, as expected, sure enough, if indeed..., if it's really..."
"guòguān","過關","過關 to cross a barrier, to get through (an ordeal), to pass (a test), to reach (a standard)"
"guòliàng","過量","過量 excess, overdose"
"guòmǐn","過敏","過敏 oversensitive, allergic, allergy"
"guòmù","過目","過目 to look over"
"guòrén","過人","過人 to surpass others, outstanding, (basketball, soccer etc) to get past an opponent"
"guòshī","過失","過失 error, fault, (law) negligence, delinquency"
"guòyǐn","過癮","過癮 to satisfy a craving, to get a kick out of sth, gratifying, immensely enjoyable, satisfying, fulfilling"
"guòzhòng","過重","過重 overweight (luggage)"
"hǎibá","海拔","海拔 height above sea level, elevation"
"hǎimiàn","海面","海面 sea level, sea surface"
"hǎixiào","海嘯","海嘯 tsunami"
"hǎiyùn","海運","海運 shipping by sea"
"hàichóng","害蟲","害蟲 injurious insect, pest"
"hánghào","行號","行號 (registered) company"
"hángliè","行列","行列 ranks, procession"
"hángkōngxìn","航空信","航空信 airmail letter"
"hángxíng","航行","航行 to sail, to fly, to navigate"
"háobù","毫不","毫不 hardly, not in the least, not at all"
"hǎobǐ","好比","好比 to be just like, can be compared to"
"hǎoshǒu","好手","好手 expert, professional"
"hǎoshòu","好受","好受 feeling better, to be more at ease"
"hàozi","號子","號子 work chant, prison cell, type, sort, mark, sign, signal, (Tw) brokerage firm"
"hébìng","合併","合併 to merge, to annex"
"hétong","合同","合同 (business) contract, CL:個|个[ge4]"
"héyì","合意","合意 to suit one's taste, suitable, congenial, by mutual agreement"
"héyuē","合約","合約 treaty, contract"
"hézài","何在","何在 where?, what place?"
"héjiě","和解","和解 to settle (a dispute out of court), to reconcile, settlement, conciliation, to become reconciled"
"hémù","和睦","和睦 peaceful relations, harmonious"
"héxié","和諧","和諧 harmonious, harmony, (euphemism) to censor"
"hédìng","核定","核定 to audit and determine, to check and ratify, to appraise and decide, determination, on a deemed basis (taxation), to deem"
"héduì","核對","核對 to check, to verify, to audit, to examine"
"hézhǔn","核准","核准 to authorize, to investigate then ratify"
"hézǐ","核子","核子 nuclear, nucleus"
"hēimíngdān","黑名單","黑名單 blacklist, list of proscribed people (books etc)"
"hēishèhuì","黑社會","黑社會 criminal underworld, organized crime syndicate"
"hěnxīn","狠心","狠心 callous, heartless"
"hēng","哼","哼 to groan, to snort, to hum, to croon, humph!"
"héngliáng","衡量","衡量 to weigh, to examine, to consider"
"hōngdòng","轟動","轟動 to cause a sensation, to create a stir in (a place), commotion, controversy"
"hōnghōnglièliè","轟轟烈烈","轟轟烈烈 strong, vigorous, large-scale"
"hónglì","紅利","紅利 bonus, dividend"
"hóngshāo","紅燒","紅燒 simmer-fried (dish)"
"hóngshuǐ","洪水","洪水 deluge, flood"
"hóngwěi","宏偉","宏偉 grand, imposing, magnificent"
"hǒng","哄","哄 roar of laughter (onom.), hubbub, to roar (as a crowd), to deceive, to coax, to amuse (a child), tumult, uproar, commotion, disturbance, variant of 鬨|哄[hong4]"
"hòubèi","後輩","後輩 younger generation"
"hòuxuǎnrén","候選人","候選人 candidate, CL:名[ming2]"
"hūyù","呼籲","呼籲 to call on (sb to do sth), to appeal (to), an appeal"
"húluàn","胡亂","胡亂 careless, reckless, casually, absent-mindedly, at will, at random, any old how"
"húyí","狐疑","狐疑 suspicious, in doubt"
"hùkǒu","戶口","戶口 population (counted as number of households for census or taxation), registered residence, residence permit, (in Hong Kong and Macau) bank account"
"hùbǔ","互補","互補 complementary, to complement each other"
"hùdòng","互動","互動 to interact, interactive"
"hùhuì","互惠","互惠 mutual benefit, mutually beneficial, reciprocal"
"huābàn","花瓣","花瓣 petal, CL:片[pian4]"
"huāduǒ","花朵","花朵 flower"
"huāhuì","花卉","花卉 flowers and plants"
"huāwén","花紋","花紋 decorative design"
"huāyàng","花樣","花樣 pattern, way of doing sth, trick, (sports) fancy-style (as figure skating etc)"
"huábùlái","划不來","划不來 not worth it"
"huádelái","划得來","划得來 worth it, it pays to"
"huáyì","華裔","華裔 ethnic Chinese, non-Chinese citizen of Chinese ancestry"
"huàgōng","化工","化工 chemical industry, abbr. of 化學工業|化学工业[hua4 xue2 gong1 ye4], chemical engineering, abbr. of 化學工程|化学工程[hua4 xue2 gong1 cheng2]"
"huàshí","化石","化石 fossil"
"huàjù","話劇","話劇 stage play, modern drama, CL:臺|台[tai2],部[bu4]"
"huàmiàn","畫面","畫面 scene, tableau, picture, image, screen (displayed by a computer), (motion picture) frame, field of view"
"huàzhǎn","畫展","畫展 art exhibition"
"huàshídài","劃時代","劃時代 epoch-marking"
"huáiyí","懷疑","懷疑 to doubt (sth), to be skeptical of, to have one's doubts, to harbor suspicions, to suspect that"
"huānsòng","歡送","歡送 to see off, to send off"
"huànxiàng","幻象","幻象 illusion"
"huànqǔ","換取","換取 to obtain (sth) in exchange, to exchange (sth) for (sth else)"
"huànzhě","患者","患者 patient, sufferer"
"huāngtáng","荒唐","荒唐 beyond belief, preposterous, absurd, intemperate, dissipated"
"huāngzhāng","慌張","慌張 confused, flustered"
"huángkǒng","惶恐","惶恐 terrified"
"huǎnghū","恍惚","恍惚 absent-minded, distracted, dazzled, vaguely, dimly"
"huīchén","灰塵","灰塵 dust"
"huīhuáng","輝煌","輝煌 splendid, glorious"
"huíhé","回合","回合 one of a sequence of contests (or subdivisions of a contest) between the same two opponents, round (boxing etc), rally (tennis etc), frame (billiards etc), inning, (tennis, soccer etc) rubber or leg, round (of negotiations)"
"huíjué","回絕","回絕 to rebuff, to refuse, to turn down"
"huíshēng","回升","回升 to rise again after a fall, to pick up, rally (stock market etc)"
"huǐsǔn","毀損","毀損 impair, damage"
"huǐhèn","悔恨","悔恨 remorse, repentance"
"huìpiào","匯票","匯票 bill of exchange, bank draft"
"huìjiàn","會見","會見 to meet with (sb who is paying a visit), CL:次[ci4]"
"huìtán","會談","會談 talks, discussions, CL:次[ci4]"
"huìlù","賄賂","賄賂 to bribe, a bribe"
"huìxīng","彗星","彗星 comet"
"húnshēn","渾身","渾身 all over, from head to foot"
"hùnyáo","混淆","混淆 to obscure, to confuse, to mix up, to blur, to mislead"
"hùnzhuó","混濁","混濁 turbid, muddy, dirty"
"huóqí","活期","活期 (banking) current (account), checking (account), demand (deposit etc)"
"huǒjiàn","火箭","火箭 rocket, CL:枚[mei2]"
"huǒlì","火力","火力 fire, firepower"
"huǒyàn","火焰","火焰 blaze, flame"
"huǒyào","火藥","火藥 gunpowder"
"huǒbàn","伙伴","伙伴 partner, companion, comrade"
"huòbì","貨幣","貨幣 currency, monetary, money"
"huòpǐn","貨品","貨品 goods"
"huòdá","豁達","豁達 optimistic, sanguine, generous, magnanimous, open-minded"
"jīcéng","基層","基層 basic level, grassroots unit, basement layer"
"jīdì","基地","基地 base (of operations), industrial or military base, al-Qaeda"
"jīdū","基督","基督 Christ"
"jīyīn","基因","基因 gene (loanword)"
"jījǐng","機警","機警 perceptive, astute, sharp, sharp-witted, vigilant, alert"
"jīlǜ","機率","機率 probability, odds (Tw)"
"jīmì","機密","機密 secret, classified (information)"
"jīqìrén","機器人","機器人 mechanical person, robot, android"
"jīzhì","機制","機制 mechanism"
"jīfū","肌膚","肌膚 skin, flesh, fig. close physical relationship"
"jīè","飢餓","飢餓 hunger, starvation, famine"
"jīxíng","畸形","畸形 deformity, abnormality"
"jīzēng","激增","激增 to increase rapidly, to shoot up"
"jízǎo","及早","及早 at the earliest possible time, as soon as possible"
"jílì","吉利, 極力","吉利 Geely, Chinese car make, auspicious, lucky, propitious
極力 to make a supreme effort, at all costs"
"jíxiáng","吉祥","吉祥 lucky, auspicious, propitious"
"jíqǔ","汲取","汲取 to draw, to derive, to absorb"
"jírì","即日","即日 this or that very day, in the next few days"
"jídù","嫉妒","嫉妒 to be jealous, to envy, to hate"
"jíduān","極端","極端 extreme"
"jíwéi","極為","極為 extremely, exceedingly"
"jíjié","集結","集結 to assemble, to concentrate, to mass, to build up, to marshal"
"jíquán","集權","集權 centralized power (history), e.g. under an Emperor or party"
"jítǐ","集體","集體 collective (decision), joint (effort), a group, a team, en masse, as a group"
"jítuán","集團","集團 group, bloc, corporation, conglomerate"
"jíjiù","急救","急救 first aid, emergency treatment"
"jízào","急躁","急躁 irritable, irascible, impetuous"
"jízhěn","急診","急診 emergency call, emergency (medical) treatment"
"jíguàn","籍貫","籍貫 one's native place, place of ancestry, registered birthplace"
"jíluò","擊落","擊落 to shoot down (a plane)"
"jìchéng","繼承","繼承 to inherit, to succeed to (the throne etc), to carry on (a tradition etc)"
"jìfēng","季風","季風 monsoon"
"jìliàng","劑量","劑量 dosage, prescribed dose of medicine"
"jìlǜ","紀律","紀律 discipline"
"jìnéng","技能","技能 technical ability, skill"
"jìsì","祭祀","祭祀 to offer sacrifices to the gods or ancestors"
"jiāhuo","傢伙","傢伙 variant of 家伙[jia1 huo5]"
"jiājiāhùhù","家家戶戶","家家戶戶 each and every family (idiom), every household"
"jiādiàn","家電","家電 household electric appliance, abbr. for 家用電器|家用电器"
"jiāshǔ","家屬","家屬 family member, (family) dependent"
"jiājié","佳節","佳節 festive day, holiday"
"jiājǐn","加緊","加緊 to intensify, to speed up, to step up"
"jiākuài","加快","加快 to accelerate, to speed up"
"jiāxīn","加薪","加薪 to raise salary"
"jiāzhòng","加重","加重 to make heavier, to emphasize, (of an illness etc) to become more serious, to aggravate (a bad situation), to increase (a burden, punishment etc)"
"jiāsuǒ","枷鎖","枷鎖 stocks and chain, in fetters"
"jiázá","夾雜","夾雜 to mix together (disparate substances), to mingle, a mix, to be tangled up with"
"jiǎruò","假若","假若 if, supposing, in case"
"jiǎshǐ","假使","假使 if, in case, suppose, given ..."
"jiǎxiàng","假象","假象 false appearance, facade"
"jiàgòu","架構","架構 to construct, to build, infrastructure, architecture, framework"
"jiàqí","假期","假期 vacation"
"jiāndū","監督","監督 to control, to supervise, to inspect"
"jiānduān","尖端","尖端 sharp pointed end, the tip, the cusp, tip-top, most advanced and sophisticated, highest peak, the best"
"jiāngù","堅固","堅固 firm, firmly, hard, stable"
"jiānrěn","堅忍","堅忍 persevering"
"jiānxìn","堅信","堅信 to believe firmly, without any doubt"
"jiānyìng","堅硬","堅硬 hard, solid"
"jiānzhí","兼職","兼職 to hold concurrent posts, concurrent job, moonlighting"
"jiānjù","艱鉅","艱鉅 "
"jiānkǔ","艱苦","艱苦 difficult, hard, arduous"
"jiānnán","艱難","艱難 difficult, hard, challenging"
"jiǎnbiàn","簡便","簡便 simple and convenient, handy"
"jiǎnchēng","簡稱","簡稱 to be abbreviated to, abbreviation, short form"
"jiǎnhuà","簡化","簡化 to simplify"
"jiǎntǐ","簡體","簡體 simplified form of Chinese characters, as opposed to traditional form 繁體|繁体[fan2 ti3]"
"jiǎntǎo","檢討","檢討 to examine or inspect, self-criticism, review"
"jiànjiě","見解","見解 opinion, view, understanding"
"jiànshì","見識","見識 to gain first-hand knowledge of sth, to experience for oneself, knowledge, experience, insight"
"jiànzheng","見證","見證 to be witness to, witness, evidence"
"jiànzào","建造","建造 to construct, to build"
"jiànshēn","健身","健身 to exercise, to keep fit, to work out, physical exercise"
"jiànshēnfáng","健身房","健身房 gym, gymnasium"
"jiànzhuàng","健壯","健壯 robust, healthy, sturdy"
"jiāngjūn","將軍","將軍 general, high-ranking military officer, to check or checkmate, fig. to embarrass, to challenge, to put sb on the spot, Chiangchun township in Tainan county 台南縣|台南县[Tai2 nan2 xian4], Taiwan"
"jiǎnglì","獎勵","獎勵 to reward, reward (as encouragement)"
"jiǎngshǎng","獎賞","獎賞 reward, prize, award"
"jiǎngzhuàng","獎狀","獎狀 prize certificate, certificate of merit"
"jiǎnglǐ","講理","講理 to argue, to reason with sb, to talk sense, to be reasonable"
"jiǎngxí","講習","講習 to lecture, to instruct"
"jiǎngyì","講義","講義 teaching materials"
"jiǎngzuò","講座","講座 a course of lectures, CL:個|个[ge4]"
"jiāocuò","交錯","交錯 to crisscross, to intertwine"
"jiāohuò","交貨","交貨 to deliver goods"
"jiāojí","交集, 焦急","交集 intersection (symbol ∩) (set theory)
焦急 anxiety, anxious"
"jiāoqíng","交情","交情 friendship, friendly relations"
"jiāoshè","交涉","交涉 to negotiate (with), to have dealings (with)"
"jiāotán","交談","交談 to discuss, to converse, chat, discussion"
"jiǎoběn","腳本","腳本 script"
"jiǎohuo","攪和","攪和 to mix (up), to blend, to spoil"
"jiàochē","轎車","轎車 enclosed carriage for carrying passengers, motor carriage, car or bus, limousine, CL:部[bu4],輛|辆[liang4]"
"jiàohǎo","叫好","叫好 to applaud, to cheer"
"jiàoguān","教官","教官 military instructor"
"jiàohuà","教化","教化 to enlighten, to civilize, to indoctrinate, to train (an animal)"
"jiàohuǐ","教誨","教誨 to instruct"
"jiàotú","教徒","教徒 disciple, follower of a religion"
"jiàoyuán","教員","教員 teacher, instructor, CL:個|个[ge4]"
"jiàoliàng","較量","較量 to pit oneself against sb, to compete with sb, contest, battle, to haggle, to quibble"
"jiēcéng","階層","階層 hierarchy, stratum, social class"
"jiējí","階級","階級 (social) class, CL:個|个[ge4]"
"jiēfang","街坊","街坊 neighborhood, neighbor"
"jiēguǎn","接管","接管 to take over, to assume control"
"jiēlián","接連","接連 on end, in a row, in succession"
"jiēnà","接納","接納 to admit (to membership)"
"jiēqià","接洽","接洽 to discuss a matter with sb, to get in touch with, to arrange"
"jiēxiàlái","接下來","接下來 to accept, to take, next, following"
"jiēmù","揭幕","揭幕 opening, unveiling"
"jiēxiǎo","揭曉","揭曉 to announce publicly, to publish, to make known, to disclose"
"jiébái","潔白","潔白 spotlessly white, pure white"
"jiéjiǎn","節儉","節儉 frugal, economical"
"jiéqìng","節慶","節慶 festival"
"jiélì","竭力","竭力 to do one's utmost"
"jiéshi","結實","結實 to bear fruit, rugged, sturdy, strong, durable, buff (physique)"
"jiéyè","結業","結業 to finish school, esp. a short course, to complete a course"
"jiéyuán","結緣","結緣 to form ties, to become attached (to sb, sth)"
"jiéyùn","捷運","捷運 rapid transit, subway"
"jiěfàng","解放","解放 to liberate, to emancipate, liberation, refers to the Communists' victory over the Nationalists in 1949, CL:次[ci4]"
"jiěkě","解渴","解渴 to quench"
"jiěpǒu","解剖","解剖 to dissect (an animal), to analyze, anatomy"
"jiěshuō","解說","解說 to explain, to comment"
"jiětǐ","解體","解體 to break up into components, to disintegrate, to collapse, to crumble"
"jiětuō","解脫","解脫 to untie, to free, to absolve of, to get free of, to extirpate oneself, (Buddhism) to free oneself of worldly worries"
"jiěyuē","解約","解約 to terminate an agreement, to cancel a contract"
"jièshí","屆時","屆時 when the time comes, at the scheduled time"
"jièbèi","戒備","戒備 to take precautions, to guard against (emergency)"
"jièdài","借貸","借貸 to borrow or lend money, debit and credit items on a balance sheet"
"jièkǒu","藉口","藉口 to use as an excuse, on the pretext, excuse, pretext, also written 借口[jie4 kou3]"
"jièrù","介入","介入 to intervene, to get involved"
"jīnqián","金錢","金錢 money, currency"
"jīnyú","金魚","金魚 goldfish"
"jīntiē","津貼","津貼 allowance"
"jǐncòu","緊湊","緊湊 compact, terse, tight (schedule)"
"jǐnmì","緊密","緊密 inseparably close"
"jǐnsuō","緊縮","緊縮 (economics) to reduce, to curtail, to cut back, to tighten, austerity, tightening, crunch"
"jǐnshèn","謹慎","謹慎 cautious, prudent"
"jìnchǎng","進場","進場 to go into, to enter an arena (e.g. sporting)"
"jìndù","進度","進度 pace, tempo, degree of progress (on project), work schedule"
"jìnér","進而","進而 and then (what follows next)"
"jìngōng","進攻","進攻 to attack, to assault, to go on the offensive, attack, assault, offense (sports)"
"jìnhuà","進化","進化 evolution, CL:個|个[ge4]"
"jìnjūn","進軍","進軍 to march, to advance"
"jìnxiū","進修","進修 to undertake advanced studies, to take a refresher course"
"jìnzhǎn","進展","進展 to make headway, to make progress"
"jìnjí","晉級","晉級 to advance in rank, promotion, advancement"
"jìnliàng","盡量","盡量 as much as possible, to the greatest extent"
"jìnlìng","禁令","禁令 prohibition, ban"
"jīngguāng","精光","精光 nothing left (money, food etc), all finished, bright and shiny, radiant, glorious"
"jīnghuá","精華","精華 best feature, most important part of an object, quintessence, essence, soul"
"jīngmíng","精明","精明 astute, shrewd"
"jīngsuǐ","精髓","精髓 marrow, pith, quintessence, essence"
"jīngzhì","精緻","精緻 delicate, fine, exquisite, refined"
"jīngdiǎn","經典","經典 the classics, scriptures, classical, classic (example, case etc), typical"
"jīngshū","經書","經書 classic books in Confucianism, scriptures, sutras"
"jīnghuáng","驚惶","驚惶 panic-stricken"
"jīngqí","驚奇","驚奇 to be amazed, to be surprised, to wonder"
"jīngxǐ","驚喜","驚喜 nice surprise, to be pleasantly surprised"
"jīngxiǎn","驚險","驚險 thrilling, a thriller"
"jīngyú","鯨魚","鯨魚 whale, CL:條|条[tiao2]"
"jǐng","井","井 Jing, one of the 28 constellations of Chinese astronomy, a well, neat, orderly, surname Jing, CL:口[kou3]"
"jǐngbào","警報","警報 (fire) alarm, alert signal, alarm, alert, warning"
"jǐngjué","警覺","警覺 to be on guard, alert, vigilance, alertness"
"jǐngtì","警惕","警惕 to be on the alert, vigilant, alert, on guard, to warn"
"jǐngwèi","警衛","警衛 to stand guard over, (security) guard"
"jǐngguān","景觀","景觀 landscape"
"jǐngqì","景氣","景氣 (of economy, business etc) flourishing, prosperous"
"jǐngwù","景物","景物 scenery"
"jǐngxiàng","景象","景象 scene, sight (to behold)"
"jìngpèi","敬佩","敬佩 to esteem, to admire"
"jìngdì","境地","境地 circumstances"
"jìngmài","靜脈","靜脈 vein"
"jìngtài","靜態","靜態 static, sedate, quiet, passive, (physics) static, steady-state, (electronics) quiescent"
"jìngsài","競賽","競賽 race, competition, CL:個|个[ge4]"
"jìngxuǎn","競選","競選 to take part in an election, to run for office"
"jiū","揪","揪 to seize, to clutch, to grab firmly and pull"
"jiūfēn","糾紛","糾紛 dispute"
"jiǔdiàn","酒店","酒店 wine shop, pub (public house), hotel, restaurant, (Tw) hostess club"
"jiǔguǎn","酒館","酒館 tavern, pub, wine shop"
"jiǔjīng","酒精","酒精 alcohol, ethanol CH3CH2OH, ethyl alcohol, also written 乙醇, grain alcohol"
"jiùxù","就緒","就緒 to be ready, to be in order"
"jiùjì","救濟","救濟 emergency relief, to help the needy with cash or goods"
"jiùyuán","救援","救援 to save, to support, to help, to assist"
"júbù","局部","局部 part, local"
"júmiàn","局面","局面 aspect, phase, situation"
"jǔsàng","沮喪","沮喪 dispirited, dejected, dismayed"
"jǔlì","舉例","舉例 to give an example"
"jǔzhǐ","舉止","舉止 bearing, manner, mien"
"jǔzhòng","舉重","舉重 to lift weights, weight-lifting (sports)"
"jùrén","巨人","巨人 giant"
"jùxī","據悉","據悉 according to reports, it is reported (that)"
"jùcān","聚餐","聚餐 communal meal, formal dinner of club or group"
"jùquán","俱全","俱全 every kind, every variety under the sun, a complete gamut"
"juānxiàn","捐獻","捐獻 to donate, to contribute, donation, contribution"
"juānzèng","捐贈","捐贈 to contribute (as a gift), to donate, benefaction"
"juésài","決賽","決賽 finals (of a competition)"
"juéyì","決議","決議 resolution, decision (of a congress)"
"juézé","抉擇","抉擇 to choose (literary)"
"juédàduōshù","絕大多數","絕大多數 absolute majority, overwhelming majority"
"juéjī","絕跡","絕跡 to be eradicated, to vanish, extinct, to break off relations"
"jūnhéng","均衡","均衡 equal, balanced, harmony, equilibrium"
"jūnyún","均勻","均勻 even, well-distributed, homogeneous, well-proportioned (figure, body etc)"
"jūnbèi","軍備","軍備 (military) arms, armaments"
"jūnfá","軍閥","軍閥 military clique, junta, warlord"
"jūnguān","軍官","軍官 officer (military)"
"jūnjiàn","軍艦","軍艦 warship, military naval vessel, CL:艘[sou1]"
"kāibàn","開辦","開辦 to open, to start (a business etc), to set up"
"kāidǎo","開導","開導 to talk sb round, to straighten sth out, to enlighten"
"kāidòng","開動","開動 to start, to set in motion, to move, to march, to dig in (eating), to tuck in (eating)"
"kāifàn","開飯","開飯 to serve a meal"
"kāikǒu","開口","開口 to open one's mouth, to start to talk"
"kāikuò","開闊","開闊 wide, open (spaces), to open up"
"kāilù","開路","開路 to open up a path, to make one's way through, to construct a road, (electricity) open circuit"
"kāimù","開幕","開幕 to open (a conference), to inaugurate"
"kāipán","開盤","開盤 to commence trading (stock market)"
"kāipì","開闢","開闢 to open up, to set up, to establish"
"kāiqǐ","開啟","開啟 to open, to start, (computing) to enable"
"kāitóu","開頭","開頭 beginning, to start"
"kāixiāo","開銷","開銷 to pay (expenses), expenses, (old) to dismiss (an employee)"
"kāiyè","開業","開業 to open a business, to open a practice, open (for business)"
"kāizhǎn","開展","開展 to launch, to develop, to unfold, (of an exhibition etc) to open"
"kāizhāng","開張","開張 to open a business, first transaction of a business day"
"kānwù","刊物","刊物 publication"
"kāndēng","刊登","刊登 to carry a story, to publish (in a newspaper or magazine)"
"kānshǒu","看守","看守 to guard, to watch over"
"kāngfù","康復","康復 to recuperate, to recover (health), to convalesce"
"kāngkǎi","慷慨","慷慨 vehement, fervent, generous, giving, liberal"
"káng","扛","扛 to raise aloft with both hands, (of two or more people) to carry sth together, to carry on one's shoulder, (fig.) to take on (a burden, duty etc), old variant of 扛[gang1]"
"kàngzhēng","抗爭","抗爭 to resist, to make a stand and fight (against)"
"kǎochǎng","考場","考場 exam room"
"kǎogǔ","考古","考古 archaeology"
"kǎoliáng","考量","考量 to consider, to give serious consideration to sth, consideration"
"kǎoshēng","考生","考生 exam candidate, student whose name has been put forward for an exam"
"kǎoyàn","考驗","考驗 to test, to put to the test, trial, ordeal"
"kǎoròu","烤肉","烤肉 barbecue (lit. roast meat)"
"kèhuà","刻畫","刻畫 to portray"
"kēhuàn","科幻","科幻 science fiction, abbr. for 科學幻想|科学幻想[ke1 xue2 huan4 xiang3]"
"kēzé","苛責","苛責 to criticize harshly, to excoriate"
"kěguān","可觀","可觀 considerable, impressive, significant"
"kějiàn","可見","可見 it can clearly be seen (that this is the case), it is (thus) clear, clear, visible"
"kěxíng","可行","可行 feasible"
"kèbó","刻薄","刻薄 unkind, harsh, cutting, mean, acrimony, to embezzle by making illegal deductions"
"kèkǔ","刻苦","刻苦 hardworking, assiduous"
"kèyì","刻意","刻意 meticulous, painstaking, deliberate"
"kèjī","客機","客機 passenger plane"
"kèyè","課業","課業 lesson, schoolwork"
"kèzhì","克制","克制 to restrain, to control, restraint, self-control"
"kēngshēng","吭聲","吭聲 to utter a word"
"kōngkuàng","空曠","空曠 spacious and empty, void"
"kōngnàn","空難","空難 air crash, aviation accident or incident"
"kōngtán","空談","空談 prattle, idle chit-chat"
"kōngyùn","空運","空運 air transport"
"kǒnghè","恐嚇","恐嚇 to threaten, to menace"
"kǒngjù","恐懼","恐懼 to be frightened, fear, dread"
"kǒutóu","口頭","口頭 oral, verbal"
"kǒuwěn","口吻","口吻 tone of voice, connotation in intonation, accent (regional etc), snout, muzzle, lips, protruding portion of an animal's face"
"kòuchú","扣除","扣除 to deduct"
"kǔgōng","苦工","苦工 hard labor (in penal code), coolie"
"kǔnàn","苦難","苦難 suffering"
"kǔnǎo","苦惱","苦惱 vexed, distressed"
"kǔzhōng","苦衷","苦衷 secret trouble, sorrow, difficulties"
"kùcún","庫存","庫存 property or cash held in reserve, stock"
"kuāyào","誇耀","誇耀 to brag about, to flaunt"
"kuàyuè","跨越","跨越 to step across, step over"
"kuàihuo","快活","快活 happy, cheerful"
"kuàisù","快速","快速 fast, high-speed, rapid"
"kuānguǎng","寬廣","寬廣 wide, broad, extensive, vast"
"kuānkuò","寬闊","寬闊 expansive, wide, width, thickness"
"kuǎndài","款待","款待 to entertain, to be hospitable to"
"kuǎnshì","款式","款式 pattern, style, design, elegant, elegance, good taste, CL:種|种[zhong3]"
"kuángfēng","狂風","狂風 gale, squall, whole gale (meteorology)"
"kuángwàng","狂妄","狂妄 egotistical, arrogant, brassy"
"kuàngchǎn","礦產","礦產 minerals"
"kuànggōng","礦工","礦工 miner"
"kūnchóng","昆蟲","昆蟲 insect, CL:隻|只[zhi1],群[qun2],堆[dui1]"
"kǔn","捆","捆 a bunch, to tie together, bundle, variant of 捆[kun3]"
"kùnjìng","困境","困境 predicament, plight"
"kùnrǎo","困擾","困擾 to perplex, to disturb, to cause complications"
"kuòjiàn","擴建","擴建 to extend (a building, an airport runway etc)"
"kuòsàn","擴散","擴散 to spread, to proliferate, to diffuse, spread, proliferation, diffusion"
"kuòzhāng","擴張","擴張 expansion, dilation, to expand (e.g. one's power or influence), to broaden"
"lāpiào","拉票","拉票 to campaign for votes, to ask voters for support"
"làyuè","臘月","臘月 twelfth lunar month"
"láibīn","來賓","來賓 guest, visitor, Laibin prefecture-level city in Guangxi"
"láide","來得","來得 to emerge (from a comparison), to come out as, to be competent or equal to"
"láikè","來客","來客 guest"
"lán","欄, 攔","欄 fence, railing, hurdle, column or box (of text or other data)
攔 to block sb's path, to obstruct, to flag down (a taxi)"
"lǎnduò","懶惰","懶惰 idle, lazy"
"lǎnsǎn","懶散","懶散 inactive, careless, lazy, indolent, negligent"
"lǎngdú","朗讀","朗讀 to read aloud"
"lǎngsòng","朗誦","朗誦 to read aloud with expression, to recite, to declaim"
"láogǎi","勞改","勞改 reform through labor, laogai (prison camp), abbr. for 勞動改造|劳动改造[lao2 dong4 gai3 zao4]"
"láolèi","勞累","勞累 tired, exhausted, worn out, to toil"
"lǎonián","老年","老年 elderly, old age, autumn of one's years"
"lǎorenjia","老人家","老人家 polite term for old woman or man"
"lǎoshǔ","老鼠","老鼠 rat, mouse, CL:隻|只[zhi1]"
"lǎotiānyé","老天爺","老天爺 God, Heavens"
"lǎotóur","老頭兒","老頭兒 see 老頭子|老头子[lao3 tou2 zi5]"
"lǎoxiāng","老鄉","老鄉 fellow townsman, fellow villager, sb from the same hometown"
